Date Heure, GMT+01:00	T B110	T B111	T B113	Trepro	T B103	Tescatt	TB102	Tvest	Tinf	TB105	TB104	Tacceuil
11/02/2015 23:56	20.293	23.352	23.809	22.082	20.889	21.246	20.674	24.291	20.770	23.545	21.390	21.819
12/02/2015 00:01	20.293	23.328	23.809	22.082	20.889	21.246	20.650	24.267	20.770	23.521	21.366	21.819
12/02/2015 00:06	20.269	23.328	23.809	22.082	20.889	21.246	20.650	24.267	20.793	23.521	21.390	21.795
12/02/2015 00:11	20.269	23.328	23.809	22.082	20.889	21.246	20.650	24.267	20.817	23.521	21.390	21.795
12/02/2015 00:16	20.269	23.328	23.809	22.082	20.889	21.246	20.650	24.291	20.793	23.521	21.390	21.795
12/02/2015 00:21	20.246	23.328	23.809	22.082	20.889	21.246	20.650	24.291	20.746	23.521	21.390	21.795
12/02/2015 00:26	20.246	23.304	23.809	22.082	20.889	21.246	20.627	24.291	20.722	23.521	21.390	21.772
12/02/2015 00:31	20.222	23.304	23.809	22.082	20.889	21.246	20.627	24.291	20.698	23.497	21.390	21.772
12/02/2015 00:36	20.222	23.304	23.809	22.082	20.889	21.246	20.627	24.291	20.674	23.497	21.366	21.772
12/02/2015 00:41	20.198	23.304	23.785	22.082	20.889	21.223	20.627	24.291	20.650	23.497	21.366	21.772
12/02/2015 00:46	20.198	23.280	23.785	22.082	20.889	21.223	20.627	24.291	20.627	23.497	21.366	21.772
12/02/2015 00:51	20.174	23.280	23.785	22.082	20.865	21.223	20.627	24.291	20.603	23.497	21.366	21.748
12/02/2015 00:56	20.174	23.280	23.785	22.082	20.865	21.223	20.603	24.291	20.603	23.497	21.366	21.748
12/02/2015 01:01	20.174	23.280	23.785	22.082	20.865	21.223	20.603	24.291	20.579	23.497	21.366	21.748
12/02/2015 01:06	20.174	23.280	23.785	22.082	20.865	21.223	20.603	24.291	20.579	23.472	21.366	21.724
12/02/2015 01:11	20.150	23.256	23.785	22.082	20.865	21.223	20.579	24.291	20.555	23.472	21.366	21.724
12/02/2015 01:16	20.150	23.256	23.785	22.082	20.865	21.223	20.555	24.291	20.555	23.472	21.366	21.724
12/02/2015 01:21	20.126	23.256	23.785	22.082	20.865	21.223	20.555	24.291	20.555	23.472	21.366	21.724
12/02/2015 01:26	20.126	23.256	23.785	22.082	20.865	21.223	20.555	24.291	20.555	23.448	21.366	21.700
12/02/2015 01:31	20.126	23.256	23.785	22.082	20.865	21.223	20.555	24.291	20.555	23.448	21.366	21.700
12/02/2015 01:36	20.103	23.232	23.785	22.082	20.865	21.223	20.555	24.291	20.555	23.448	21.366	21.700
12/02/2015 01:41	20.103	23.232	23.785	22.082	20.865	21.199	20.531	24.291	20.531	23.448	21.366	21.700
12/02/2015 01:46	20.103	23.232	23.785	22.082	20.865	21.199	20.531	24.291	20.531	23.424	21.366	21.700
12/02/2015 01:51	20.079	23.232	23.761	22.082	20.865	21.199	20.531	24.291	20.531	23.424	21.366	21.676
12/02/2015 01:56	20.079	23.232	23.761	22.082	20.865	21.199	20.531	24.291	20.531	23.424	21.366	21.676
