"N"	"Departement"	"Usage de Batiment"	"Annee de Construction"	"Materiau Principal"	"Q4Pa_surf(m^3/h*m^2)"
"714"	17758	"Saone-et-Loire"	"Etablissement sanitaire"	2012	"Beton"	0.97
"715"	17759	"Saone-et-Loire"	"Etablissement sanitaire"	2012	"Beton"	1.13
"716"	17772	"Non precise"	"Etablissement sanitaire"	2012	"Beton"	0.95
"717"	17773	"Non precise"	"Etablissement sanitaire"	2012	"Beton"	0.92
"718"	17774	"Non precise"	"Etablissement sanitaire"	2012	"Beton"	3.4
"719"	17775	"Non precise"	"Etablissement sanitaire"	2012	"Beton"	0.73
"720"	17776	"Non precise"	"Etablissement sanitaire"	2012	"Beton"	1.6
"721"	17777	"Non precise"	"Etablissement sanitaire"	2012	"Beton"	1.24
"722"	17778	"Ain"	"Enseignement"	2012	"Autre"	1.9
"732"	17879	"Isere"	"Etablissement sanitaire"	2011	"Beton"	1.69
"733"	17880	"Isere"	"Etablissement sanitaire"	2010	"Beton"	3.61
"734"	17892	"Haute-Savoie"	"Bureaux"	2012	"Mixte Acier-Beton"	1.57
"736"	17916	"Isere"	"Etablissement sanitaire"	2011	"Beton"	2.35
"737"	17920	"Isere"	"Bureaux"	2012	"Mixte Beton-Bois"	1.36
"740"	17963	"Isere"	"Enseignement"	2012	"Mixte Beton-Bois"	0.85
"742"	17996	"Non precise"	"Restaurant"	2013	"Mixte Beton-Bois"	0.5
"743"	17997	"Non precise"	"Enseignement"	2013	"Mixte Beton-Bois"	0.57
"745"	18028	"Isere"	"Salle polyvalente"	2012	"Bois"	1.28
"746"	18050	"Non precise"	"Salle polyvalente"	2012	"Beton"	0.4
"747"	18051	"Non precise"	"Enseignement"	2012	"Bois"	1.1
"748"	18088	"Non precise"	"Enseignement"	2012	"Beton"	0.42
"750"	18119	"Non precise"	"Enseignement"	2012	"Bois"	0.59
"751"	18147	"Non precise"	"Bureaux"	2013	"Bois"	0.37
"752"	18157	"Non precise"	"Bureaux"	2013	"Beton"	0.56
